german,english,article,german_sentence,english_sentence
wand,wall,,Weiße Wand.,White wall.
boden,floor,,Sauberer Boden.,Clean floor.
decke,ceiling,,Hohe Decke.,High ceiling.
treppe,stairs,,Die Treppe hoch.,Up the stairs.
zimmer,room,,Mein Zimmer.,My room.
küche,kitchen,,In der Küche.,In the kitchen.
bad,bathroom,,Ins Bad.,To the bathroom.
schlafzimmer,bedroom,,Im Schlafzimmer.,In the bedroom.
wohnzimmer,living room,,Im Wohnzimmer.,In the living room.
garten,garden,,Schöner Garten.,Beautiful garden.
tisch,table,,Am Tisch.,At the table.
stuhl,chair,,Bequemer Stuhl.,Comfortable chair.
bett,bed,,Weiches Bett.,Soft bed.
schrank,wardrobe,,Großer Schrank.,Big wardrobe.
lampe,lamp,,Helle Lampe.,Bright lamp.
bild,picture,,Schönes Bild.,Beautiful picture.
uhr,clock,,Die Uhr tickt.,The clock ticks.
telefon,telephone,,Am Telefon.,On the phone.
computer,computer,,Neuer Computer.,New computer.
fernseher,TV,,Großer Fernseher.,Big TV.
radio,radio,,Lautes Radio.,Loud radio.
buch,book,,Gutes Buch.,Good book.
heft,notebook,,Neues Heft.,New notebook.
stift,pen,,Blauer Stift.,Blue pen.
bleistift,pencil,,Spitzer Bleistift.,Sharp pencil.
papier,paper,,Weißes Papier.,White paper.
tasche,bag,,Meine Tasche.,My bag.
schuh,shoe,,Neue Schuhe.,New shoes.
hose,trousers,,Lange Hose.,Long trousers.
hemd,shirt,,Weißes Hemd.,White shirt.
jacke,jacket,,Warme Jacke.,Warm jacket.
mantel,coat,,Langer Mantel.,Long coat.
kleid,dress,,Schönes Kleid.,Beautiful dress.
rock,skirt,,Kurzer Rock.,Short skirt.
pullover,sweater,,Warmer Pullover.,Warm sweater.
socken,socks,,Warme Socken.,Warm socks.
unterhose,underpants,,Saubere Unterhose.,Clean underpants.
brille,glasses,,Meine Brille.,My glasses.
uhr,watch,,Armbanduhr.,Wristwatch.
ring,ring,,Goldener Ring.,Golden ring.
kette,necklace,,Silberne Kette.,Silver necklace.
stadt,city,,Große Stadt.,Big city.
straße,street,,Breite Straße.,Wide street.
platz,square,,Zentraler Platz.,Central square.
park,park,,Schöner Park.,Beautiful park.
bahnhof,train station,,Am Bahnhof.,At the train station.
flughafen,airport,,Großer Flughafen.,Big airport.
bushaltestelle,bus stop,,Nächste Haltestelle.,Next stop.
auto,car,,Rotes Auto.,Red car.
zug,train,,Schneller Zug.,Fast train.
bus,bus,,Der Bus kommt.,The bus is coming.
fahrrad,bicycle,,Mein Fahrrad.,My bicycle.
flugzeug,plane,,Großes Flugzeug.,Big plane.
schiff,ship,,Großes Schiff.,Big ship.
straße,road,,Lange Straße.,Long road.
weg,path,,Der richtige Weg.,The right path.
brücke,bridge,,Hohe Brücke.,High bridge.
tunnel,tunnel,,Langer Tunnel.,Long tunnel.
ampel,traffic light,,Rote Ampel.,Red light.
schild,sign,,Verbotsschild.,No-entry sign.
polizist,police officer,,Der Polizist.,The police officer.
arzt,doctor,,Zum Arzt gehen.,Go to the doctor.
krankenschwester,nurse,,Die Krankenschwester.,The nurse.
lehrer,teacher,,Guter Lehrer.,Good teacher.
schüler,student,,Fleißiger Schüler.,Hardworking student.
chef,boss,,Der Chef.,The boss.
kollege,colleague,,Lieber Kollege.,Dear colleague.
freund,friend,,Bester Freund.,Best friend.
nachbar,neighbor,,Netter Nachbar.,Nice neighbor.
familie,family,,Große Familie.,Big family.
mutter,mother,,Meine Mutter.,My mother.
vater,father,,Mein Vater.,My father.
sohn,son,,Unser Sohn.,Our son.
tochter,daughter,,Unsere Tochter.,Our daughter.
bruder,brother,,Mein Bruder.,My brother.
schwester,sister,,Meine Schwester.,My sister.
oma,grandma,,Liebe Oma.,Dear grandma.
opa,grandpa,,Lieber Opa.,Dear grandpa.
kind,child,,Kleines Kind.,Small child.
baby,baby,,Süßes Baby.,Cute baby.
mann,man/husband,,Mein Mann.,My husband.
frau,wife/woman,,Meine Frau.,My wife.
name,name,,Vorname und Nachname.,First and last name.
alter,age,,Wie alt bist du?,How old are you?
adresse,address,,Neue Adresse.,New address.
telefonnummer,phone number,,Handynummer.,Mobile number.
geburtstag,birthday,,Alles Gute zum Geburtstag!,Happy birthday!
hochzeit,wedding,,Zur Hochzeit.,To the wedding.
ferien,vacation,,In den Ferien.,On vacation.
urlaub,holiday,,Im Urlaub.,On holiday.
reise,trip,,Gute Reise!,Have a good trip!
hotel,hotel,,Gutes Hotel.,Good hotel.
restaurant,restaurant,,Italienisches Restaurant.,Italian restaurant.
café,café,,Ins Café gehen.,Go to the café.
kino,cinema,,Ins Kino gehen.,Go to the cinema.
theater,theater,,Ins Theater.,To the theater.
museum,museum,,Interessantes Museum.,Interesting museum.
schule,school,,In der Schule.,At school.
universität,university,,An der Uni.,At the uni.
bibliothek,library,,In der Bibliothek.,In the library.
geschäft,shop,,Kleiner Laden.,Small shop.
supermarkt,supermarket,,Großer Supermarkt.,Big supermarket.
bäckerei,bakery,,Zur Bäckerei.,To the bakery.
apotheke,pharmacy,,In der Apotheke.,In the pharmacy.
bank,bank,,Zur Bank.,To the bank.
post,post office,,Zur Post.,To the post office.
montag,Monday,,Am Montag.,On Monday.
dienstag,Tuesday,,Am Dienstag.,On Tuesday.
mittwoch,Wednesday,,Am Mittwoch.,On Wednesday.
donnerstag,Thursday,,Am Donnerstag.,On Thursday.
freitag,Friday,,Am Freitag.,On Friday.
samstag,Saturday,,Am Samstag.,On Saturday.
sonntag,Sunday,,Am Sonntag.,On Sunday.
januar,January,,Im Januar.,In January.
februar,February,,Im Februar.,In February.
märz,March,,Im März.,In March.
april,April,,Im April.,In April.
mai,May,,Im Mai.,In May.
juni,June,,Im Juni.,In June.
juli,July,,Im Juli.,In July.
august,August,,Im August.,In August.
september,September,,Im September.,In September.
oktober,October,,Im Oktober.,In October.
november,November,,Im November.,In November.
dezember,December,,Im Dezember.,In December.
frühling,spring,,Im Frühling.,In spring.
sommer,summer,,Im Sommer.,In summer.
herbst,autumn,,Im Herbst.,In autumn.
winter,winter,,Im Winter.,In winter.
morgen,morning,,Guten Morgen!,Good morning!
mittag,noon,,Guten Tag!,Good day!
abend,evening,,Guten Abend!,Good evening!
nacht,night,,Gute Nacht!,Good night!
stunde,hour,,Eine Stunde.,One hour.
minute,minute,,Zehn Minuten.,Ten minutes.
sekunde,second,,Eine Sekunde.,One second.
woche,week,,Nächste Woche.,Next week.
monat,month,,Nächster Monat.,Next month.
jahr,year,,Nächstes Jahr.,Next year.
heute,today,,Heute ist Freitag.,Today is Friday.
morgen,tomorrow,,Morgen früh.,Tomorrow morning.
übermorgen,day after tomorrow,,Übermorgen komme ich.,Day after tomorrow I'll come.
gestern,yesterday,,Gestern war Sonntag.,Yesterday was Sunday.
vorgestern,day before yesterday,,Vorgestern war kalt.,Day before yesterday was cold.
jetzt,now,,Jetzt sofort!,Now immediately!
später,later,,Später vielleicht.,Later maybe.
bald,soon,,Bald fertig.,Soon done.
schon,already,,Schon da?,Already there?
noch,still,,Noch nicht.,Not yet.
nie,never,,Nie wieder!,Never again!
immer,always,,Immer so.,Always like that.
oft,often,,Oft kommen.,Come often.
selten,rarely,,Selten gesehen.,Rarely seen.
manchmal,sometimes,,Manchmal ja.,Sometimes yes.
gewöhnlich,usually,,Gewöhnlich ja.,Usually yes.
normalerweise,normally,,Normalerweise nicht.,Normally not.
fast,almost,,Fast immer.,Almost always.
beinahe,nearly,,Beinahe vergessen.,Nearly forgotten.
etwa,about/approximately,,Etwa zehn.,About ten.
ungefähr,approximately,,Ungefähr richtig.,Approximately right.
genau,exactly,,Genau um 8.,Exactly at 8.
ungefähr,about,,Ungefähr 100.,About 100.
circa,about,,Circa 50 Euro.,About 50 euros.
plus,plus,,Zwei plus zwei.,Two plus two.
minus,minus,,Fünf minus drei.,Five minus three.
mal,times,,Drei mal vier.,Three times four.
durch,divided by,,Zehn durch zwei.,Ten divided by two.
gleich,equals,,Zwei plus zwei gleich vier.,Two plus two equals four.
mehr,more,,Noch mehr?,Even more?
weniger,less,,Weniger Zucker.,Less sugar.
zu,to,,Zu viel!,Too much!
sehr,very,,Sehr gut!,Very good!
wirklich,really,,Wirklich wahr?,Really true?
total,totally,,Total verrückt!,Totally crazy!
vollkommen,completely,,Vollkommen richtig.,Completely right.
absolut,absolutely,,Absolut sicher.,Absolutely sure.
ziemlich,quite,,Ziemlich gut.,Quite good.
eher,rather,,Eher nein.,Rather no.
kaum,hardly,,Kaum zu glauben.,Hardly believable.
fast,almost,,Fast fertig.,Almost done.
gerade,just/right now,,Gerade angekommen.,Just arrived.
sofort,immediately,,Sofort kommen!,Come immediately!
gleich,right away,,Ich komme gleich!,I'm coming right away!
plötzlich,suddenly,,Plötzlich war er da.,Suddenly he was there.
langsam,slowly,,Langsam essen.,Eat slowly.
schnell,quickly,,Schnell laufen.,Run quickly.
leise,quietly,,Leise sprechen.,Speak quietly.
laut,loudly,,Laut singen.,Sing loudly.
vorsichtig,carefully,,Vorsichtig sein!,Be careful!
ruhig,calmly,,Ruhig bleiben!,Stay calm!
heftig,violently,,Heftig regnen.,Rain heavily.
sanft,gently,,Sanft streicheln.,Stroke gently.
fest,hard/tightly,,Fest halten!,Hold tight!
locker,loosely,,Locker sitzen.,Sit loosely.
direkt,directly,,Direkt daneben.,Directly next to.
indirekt,indirectly,,Indirekt sagen.,Say indirectly.
vorne,in front,,Vorne sitzen.,Sit in front.
hinten,at the back,,Hinten stehen.,Stand at the back.
oben,upstairs,,Oben wohnen.,Live upstairs.
unten,downstairs,,Unten parken.,Park downstairs.
links,left,,Links abbiegen.,Turn left.
rechts,right,,Rechts halten.,Keep right.
geradeaus,straight ahead,,Geradeaus gehen.,Go straight.
zurück,back,,Zurückkommen.,Come back.
vorwärts,forward,,Vorwärts marsch!,Forward march!
rückwärts,backwards,,Rückwärts gehen.,Go backwards.
hoch,up,,Hoch springen.,Jump up.
runter,down,,Runterkommen.,Come down.
rein,in,,Reinkommen!,Come in!
raus,out,,Rausgehen.,Go out.
her,here (direction),,Her damit!,Give it here!
hin,there (direction),,Dorthin gehen.,Go there.
herauf,up here,,Heraufkommen.,Come up here.
herunter,down here,,Herunterkommen.,Come down here.
hinein,into,,Hineingehen.,Go in.
hinaus,out,,Hinausgehen.,Go out.
herüber,over here,,Herüberkommen.,Come over here.
hinüber,over there,,Hinübergehen.,Go over there.
zusammen,together,,Zusammen essen.,Eat together.
allein,alone,,Allein sein.,Be alone.
gemeinsam,together,,Gemeinsam arbeiten.,Work together.
getrennt,separately,,Getrennt zahlen.,Pay separately.
nebenbei,by the way,,Nebenbei bemerkt...,By the way...
übrigens,by the way,,Übrigens,weißt du...?
allerdings,however,,Allerdings teuer.,However expensive.
trotzdem,nevertheless,,Trotzdem komme ich.,Nevertheless I'll come.
sonst,otherwise,,Sonst nichts.,Otherwise nothing.
außerdem,besides,,Außerdem kalt.,Besides cold.
darüber hinaus,furthermore,,Darüber hinaus...,Furthermore...
zwar...aber,although...but,,Zwar schön,aber teuer.
entweder...oder,either...or,,Entweder jetzt oder nie.,Either now or never.
weder...noch,neither...nor,,Weder Fisch noch Fleisch.,Neither fish nor flesh.
sowohl...als auch,both...and,,Sowohl als auch.,Both and.
nicht nur...sondern auch,not only...but also,,Nicht nur gut,sondern super.
je...desto,the...the,,Je früher,desto besser.
obwohl,although,,Obwohl müde.,Although tired.
trotzdem,despite that,,Trotzdem gegangen.,Gone despite that.
damit,so that,,Damit es klappt.,So that it works.
weil,because,,Weil es regnet.,Because it's raining.
da,because,,Da ich müde bin.,Because I am tired.
falls,in case,,Falls es regnet.,In case it rains.
sobald,as soon as,,Sobald möglich.,As soon as possible.
bevor,before,,Bevor es zu spät ist.,Before it's too late.
nachdem,after,,Nachdem wir gegessen haben.,After we ate.
während,while,,Während des Films.,During the movie.
seitdem,since then,,Seitdem nicht mehr.,Not anymore since then.
bis,until,,Bis bald!,Until soon!
solange,as long as,,Solange ich lebe.,As long as I live.
je,ever,,Hast du je...?,Have you ever...?
jemals,ever,,Nie jemals.,Never ever.
schon,already,,Schon gesehen?,Already seen?
noch,still,,Noch da?,Still there?
mehr,no more,,Nicht mehr.,No more.
länger,no longer,,Nicht länger warten.,No longer wait.
bald,soon,,Bald da.,Soon there.
später,later,,Später dann.,Later then.
früher,earlier,,Früher war besser.,Earlier was better.
jetzt,now,,Jetzt aber!,Now though!
gleich,soon/right away,,Gleich da!,Be there soon!
sofort,immediately,,Sofort!,Immediate!
dann,then,,Dann los!,Then go!
danach,afterwards,,Danach essen.,Eat afterwards.
zuerst,first,,Zuerst trinken.,Drink first.
zuerst,first of all,,Zuerst einmal...,First of all...
zuletzt,lastly,,Zuletzt kommt...,Lastly comes...
endlich,finally,,Endlich da!,Finally here!
plötzlich,suddenly,,Plötzlich weg.,Suddenly gone.
langsam,gradually,,Langsam besser.,Gradually better.
schnell,quickly,,Schnell fertig.,Quickly done.
immer,always,,Immer wieder.,Again and again.
oft,often,,Oft hier.,Often here.
selten,rarely,,Selten gesehen.,Rarely seen.
nie,never,,Nie wieder!,Never again!
manchmal,sometimes,,Manchmal ja.,Sometimes yes.
häufig,frequently,,Häufig kommen.,Come frequently.
gelegentlich,occasionally,,Gelegentlich mal.,Occasionally.
regelmäßig,regularly,,Regelmäßig trainieren.,Train regularly.
ständig,constantly,,Ständig läuten.,Constantly ringing.
meistens,mostly,,Meistens ja.,Mostly yes.
gewöhnlich,usually,,Gewöhnlich so.,Usually like that.
normalerweise,normally,,Normalerweise nicht.,Normally not.
typischerweise,typically,,Typischerweise teuer.,Typically expensive.
üblicherweise,usually,,Üblicherweise ja.,Usually yes.
ausnahmsweise,exceptionally,,Ausnahmsweise mal.,Exceptionally once.
zufällig,by chance,,Zufällig hier?,By chance here?
absichtlich,intentionally,,Absichtlich gemacht.,Done intentionally.
unabsichtlich,unintentionally,,Unabsichtlich fallen lassen.,Dropped unintentionally.
freiwillig,voluntarily,,Freiwillig helfen.,Help voluntarily.
zwangsweise,compulsorily,,Zwangsweise mitkommen.,Have to come along.
gerne,gladly,,Sehr gerne!,Very gladly!
ungern,reluctantly,,Ungern zugeben.,Reluctantly admit.
lieber,rather,,Lieber nicht.,Rather not.
am liebsten,preferably,,Am liebsten zu Hause.,Preferably at home.
höchstens,at most,,Höchstens zehn.,At most ten.
mindestens,at least,,Mindestens zwanzig.,At least twenty.
etwa,about,,Etwa so groß.,About that big.
ungefähr,approximately,,Ungefähr richtig.,Approximately right.
circa,circa,,Circa 100 Leute.,Circa 100 people.
plus,plus,,Fünf plus fünf.,Five plus five.
minus,minus,,Zehn minus zwei.,Ten minus two.
mal,times,,Vier mal fünf.,Four times five.
geteilt durch,divided by,,Zwanzig geteilt durch vier.,Twenty divided by four.
gleich,equals,,Zehn plus zehn gleich zwanzig.,Ten plus ten equals twenty.
prozent,percent,,Zehn Prozent.,Ten percent.
halb,half,,Halb zwölf.,Half past eleven.
viertel,quarter,,Viertel nach drei.,Quarter past three.
drittel,third,,Ein Drittel.,One third.
ganz,whole,,Ganz Deutschland.,All of Germany.
halb,half,,Halb voll.,Half full.
voll,full,,Voll besetzt.,Fully occupied.
leer,empty,,Leer stehen.,Stand empty.
teilweise,partly,,Teilweise bewölkt.,Partly cloudy.
vollständig,completely,,Vollständig fertig.,Completely done.
ganz,quite,,Ganz okay.,Quite okay.
total,totally,,Total verrückt.,Totally crazy.
absolut,absolutely,,Absolut richtig.,Absolutely right.
völlig,completely,,Völlig egal.,Completely indifferent.
sehr,very,,Sehr wichtig.,Very important.
äußerst,extremely,,Äußerst selten.,Extremely rare.
besonders,particularly,,Besonders schön.,Particularly beautiful.
außerordentlich,extraordinarily,,Außerordentlich gut.,Extraordinarily good.
ungeheuer,immensely,,Ungeheuer laut.,Immensely loud.
enorm,enormously,,Enorm teuer.,Enormously expensive.
riesig,huge,,Riesig groß.,Huge.
winzig,tiny,,Winzig klein.,Tiny.
gigantisch,gigantic,,Gigantisch groß.,Gigantic.
minimal,minimal,,Minimaler Aufwand.,Minimal effort.
maximal,maximum,,Maximal schnell.,Maximum speed.
optimal,optimal,,Optimal gelöst.,Optimally solved.
perfekt,perfect,,Perfekt!,Perfect!
ideal,ideal,,Ideale Lösung.,Ideal solution.
exzellent,excellent,,Exzellent!,Excellent!
fantastisch,fantastic,,Fantastisch!,Fantastic!
wunderbar,wonderful,,Wunderbar!,Wonderful!
herrlich,gorgeous,,Herrlich!,Gorgeous!
traumhaft,dreamlike,,Traumhaft schön.,Dreamlike beautiful!
zauberhaft,enchanting,,Zauberhaft.,Enchanting!
hinreißend,charming,,Hinreißend!,Charming!
bezaubernd,charming,,Bezaubernd!,Charming!
liebenswert,lovable,,Liebenswert.,Lovable!
nett,nice,,Sehr nett.,Very nice!
freundlich,friendly,,Sehr freundlich.,Very friendly!
höflich,polite,,Sehr höflich.,Very polite!
hilfsbereit,helpful,,Sehr hilfsbereit.,Very helpful!
geduldig,patient,,Bleib geduldig!,Stay patient!
tolerant,tolerant,,Sehr tolerant.,Very tolerant!
offen,open,,Sehr offen.,Very open!
ehrlich,honest,,Ehrlich gesagt...,Honestly speaking...
aufrichtig,sincere,,Aufrichtig gemeint.,Sincerely meant.
fair,fair,,Fair spielen.,Play fair.
gerecht,just,,Gerecht sein.,Be just.
treu,loyal,,Treuer Freund.,Loyal friend.
zuverlässig,reliable,,Sehr zuverlässig.,Very reliable.
pünktlich,punctual,,Immer pünktlich.,Always punctual.
fleißig,hardworking,,Sehr fleißig.,Very hardworking.
intelligent,intelligent,,Sehr intelligent.,Very intelligent.
klug,clever,,Sehr klug.,Very clever!
weise,wise,,Weise Entscheidung.,Wise decision.
kreativ,creative,,Sehr kreativ.,Very creative!
originell,original,,Originelle Idee.,Original idea.
witzig,funny,,Sehr witzig!,Very funny!
humorvoll,humorous,,Humorvoller Mensch.,Humorous person.
lustig,funny,,Lustiger Witz.,Funny joke.
fröhlich,cheerful,,Fröhliche Leute.,Cheerful people.
heiter,cheerful,,Heiteres Gemüt.,Cheerful mood.
glücklich,happy,,Glücklich sein.,Be happy.
zufrieden,satisfied,,Zufrieden sein.,Be satisfied.
stolz,proud,,Stolz auf dich!,Proud of you!
dankbar,grateful,,Sehr dankbar.,Very grateful.
froh,glad,,Froh sein.,Be glad.
begeistert,enthusiastic,,Total begeistert!,Totally enthusiastic!
fasziniert,fascinated,,Fasziniert sein.,Be fascinated.
interessiert,interested,,Sehr interessiert.,Very interested!
neugierig,curious,,Neugierig sein.,Be curious.
mutig,brave,,Sehr mutig.,Very brave!
tapfer,courageous,,Tapfer kämpfen.,Fight courageously.
stark,strong,,Stark bleiben!,Stay strong!
kraftvoll,powerful,,Kraftvolle Stimme.,Powerful voice.
energisch,energetic,,Energisch handeln.,Act energetically.
lebhaft,lively,,Lebhaftes Kind.,Lively child.
aktiv,active,,Aktiv mitmachen.,Join in actively.
dynamisch,dynamic,,Dynamische Person.,Dynamic person.
ruhig,calm,,Ruhig bleiben!,Stay calm!
gelassen,relaxed,,Gelassen bleiben.,Stay relaxed.
entspannt,relaxed,,Entspannt sein.,Be relaxed.
friedlich,peaceful,,Friedliche Lösung.,Peaceful solution.
sanft,gentle,,Sanfte Berührung.,Gentle touch.
zart,tender,,Zarte Haut.,Tender skin.
weich,soft,,Weiches Kissen.,Soft pillow.
hart,hard,,Harte Arbeit.,Hard work.
streng,strict,,Strenge Regeln.,Strict rules.
diszipliniert,disciplined,,Diszipliniert sein.,Be disciplined.
ordentlich,neat,,Ordentlich sein.,Be neat.
sauber,clean,,Sauber machen.,Clean up.
schlampig,sloppy,,Schlampig arbeiten.,Work sloppily.
faul,lazy,,Faul sein.,Be lazy.
träge,sluggish,,Träge werden.,Become sluggish.
langweilig,boring,,Langweilig sein.,Be boring.
spannend,exciting,,Sehr spannend!,Very exciting!
interessant,interesting,,Sehr interessant!,Very interesting!
faszinierend,fascinating,,Faszinierend!,Fascinating!
beeindruckend,impressive,,Beeindruckend!,Impressive!
erstaunlich,amazing,,Erstaunlich!,Amazing!
unglaublich,incredible,,Unglaublich!,Incredible!
wunderbar,wonderful,,Wunderbar!,Wonderful!
schrecklich,terrible,,Schrecklich!,Terrible!
furchtbar,awful,,Furchtbar kalt.,Awfully cold.
grauenhaft,horrible,,Grauenhaft!,Horrible!
entsetzlich,dreadful,,Entsetzlich laut.,Dreadfully loud.
fürchterlich,dreadful,,Fürchterlich!,Dreadful!
ekelhaft,disgusting,,Ekelhaft!,Disgusting!
widerlich,repulsive,,Widerlich!,Repulsive!
hässlich,ugly,,Hässlich sein.,Be ugly.
scheußlich,hideous,,Scheußlich!,Hideous!
traurig,sad,,Traurig sein.,Be sad.
deprimiert,depressed,,Depressiv sein.,Be depressed.
unglücklich,unhappy,,Unglücklich sein.,Be unhappy.
verzweifelt,desperate,,Verzweifelt suchen.,Search desperately.
verärgert,annoyed,,Verärgert sein.,Be annoyed.
wütend,angry,,Wütend werden.,Get angry.
böse,angry,,Böse sein.,Be angry.
sauer,angry,,Sauer sein.,Be angry.
genervt,annoyed,,Genervt sein.,Be annoyed.
gestresst,stressed,,Gestresst sein.,Be stressed.
nervös,nervous,,Nervös sein.,Be nervous.
ängstlich,anxious,,Ängstlich sein.,Be anxious.
furchtlos,fearless,,Furchtlos sein.,Be fearless.
schüchtern,shy,,Schüchtern sein.,Be shy.
schamlos,shameless,,Schamlos lügen.,Lie shamelessly.
stolz,proud,,Stolz sein.,Be proud.
arrogant,arrogant,,Arrogant sein.,Be arrogant.
eingebildet,conceited,,Eingebildet sein.,Be conceited.
bescheiden,modest,,Bescheiden sein.,Be modest.
demütig,humble,,Demütig sein.,Be humble.
selbstbewusst,self-confident,,Selbstbewusst auftreten.,Appear self-confident.
unsicher,insecure,,Unsicher sein.,Be insecure.
verlegen,embarrassed,,Verlegen sein.,Be embarrassed.
peinlich,embarrassing,,Peinlich sein.,Be embarrassing.
komisch,funny/strange,,Komisch aussehen.,Look funny.
lächerlich,ridiculous,,Lächerlich!,Ridiculous!
albern,silly,,Albern sein.,Be silly.
ernst,serious,,Ernst sein.,Be serious.
streng,strict,,Streng sein.,Be strict.
locker,casual,,Locker bleiben.,Stay casual.
cool,cool,,Total cool!,Totally cool!
hip,cool,,Hip sein.,Be hip.
modern,modern,,Modern eingerichtet.,Furnished modern.
altmodisch,old-fashioned,,Altmodisch gekleidet.,Dressed old-fashioned.
traditionell,traditional,,Traditionelle Küche.,Traditional cuisine.
international,international,,International bekannt.,Internationally known.
lokal,local,,Lokales Bier.,Local beer.
regional,regional,,Regionale Produkte.,Regional products.
national,national,,Nationalfeiertag.,National holiday.
global,global,,Global denken.,Think global.
weltweit,worldwide,,Weltweit bekannt.,Worldwide known.
europa,Europe,,In Europa.,In Europe.
deutschland,Germany,,In Deutschland leben.,Live in Germany.
berlin,Berlin,,In Berlin.,In Berlin.
münchen,Munich,,In München.,In Munich.
hamburg,Hamburg,,In Hamburg.,In Hamburg.
köln,Cologne,,In Köln.,In Cologne.
frankfurt,Frankfurt,,In Frankfurt.,In Frankfurt.
stuttgart,Stuttgart,,In Stuttgart.,In Stuttgart.
düsseldorf,Düsseldorf,,In Düsseldorf.,In Düsseldorf.
dortmund,Dortmund,,In Dortmund.,In Dortmund.
essen,Essen,,In Essen.,In Essen.
leipzig,Leipzig,,In Leipzig.,In Leipzig.
dresden,Dresden,,In Dresden.,In Dresden.
hannover,Hanover,,In Hannover.,In Hanover.
nürnberg,Nuremberg,,In Nürnberg.,In Nuremberg.
österreich,Austria,,In Österreich.,In Austria.
wien,Vienna,,In Wien.,In Vienna.
schweiz,Switzerland,,In der Schweiz.,In Switzerland.
zürich,Zurich,,In Zürich.,In Zurich.
frankreich,France,,In Frankreich.,In France.
paris,Paris,,In Paris.,In Paris.
spanien,Spain,,In Spanien.,In Spain.
madrid,Madrid,,In Madrid.,In Madrid.
italien,Italy,,In Italien.,In Italy.
rom,Rome,,In Rom.,In Rome.
england,England,,In England.,In England.
london,London,,In London.,In London.
usa,USA,,In den USA.,In the USA.
new york,New York,,In New York.,In New York.
los angeles,Los Angeles,,In Los Angeles.,In Los Angeles.
china,China,,In China.,In China.
peking,Beijing,,In Peking.,In Beijing.
japan,Japan,,In Japan.,In Japan.
tokyo,Tokyo,,In Tokyo.,In Tokyo.
russland,Russia,,In Russland.,In Russia.
moskau,Moscow,,In Moskau.,In Moscow.
ägypten,Egypt,,In Ägypten.,In Egypt.
kairo,Cairo,,In Kairo.,In Cairo.
brasilien,Brazil,,In Brasilien.,In Brazil.
rio de janeiro,Rio de Janeiro,,In Rio.,In Rio.
australien,Australia,,In Australien.,In Australia.
sydney,Sydney,,In Sydney.,In Sydney.
deutsch,German,,Deutsch sprechen.,Speak German.
englisch,English,,Englisch lernen.,Learn English.
französisch,French,,Französisch können.,Know French.
spanisch,Spanish,,Spanisch verstehen.,Understand Spanish.
italienisch,Italian,,Italienisch essen.,Eat Italian.
chinesisch,Chinese,,Chinesisch kochen.,Cook Chinese.
japanisch,Japanese,,Japanisch lernen.,Learn Japanese.
russisch,Russian,,Russisch sprechen.,Speak Russian.
arabisch,Arabic,,Arabisch verstehen.,Understand Arabic.
portugiesisch,Portuguese,,Portugiesisch können.,Know Portuguese.
sprache,language,,Fremdsprache lernen.,Learn foreign language.
wort,word,,Neues Wort.,New word.
satz,sentence,,Langer Satz.,Long sentence.
grammatik,grammar,,Deutsche Grammatik.,German grammar.
aussprache,pronunciation,,Gute Aussprache.,Good pronunciation.
akzent,accent,,Starker Akzent.,Strong accent.
übersetzen,to translate,,Ins Deutsche übersetzen.,Translate into German.
verstehen,to understand,,Gut verstehen.,Understand well.
sprechen,to speak,,Laut sprechen.,Speak loudly.
hören,to listen,,Gut zuhören.,Listen well.
lesen,to read,,Viel lesen.,Read a lot.
schreiben,to write,,Schön schreiben.,Write nicely.
lernen,to learn,,Schnell lernen.,Learn quickly.
lehren,to teach,,Deutsch lehren.,Teach German.
fragen,to ask,,Fragen stellen.,Ask questions.
antworten,to answer,,Richtig antworten.,Answer correctly.
erklären,to explain,,Gut erklären.,Explain well.
wiederholen,to repeat,,Nochmal wiederholen.,Repeat again.
aussprechen,to pronounce,,Richtig aussprechen.,Pronounce correctly.
fehler,mistake,,Grammatikfehler.,Grammar mistake.
korrigieren,to correct,,Fehler korrigieren.,Correct mistakes.
üben,to practice,,Viel üben.,Practice a lot.
anfangen,to begin,,Jetzt anfangen.,Begin now.
aufhören,to stop,,Nie aufhören.,Never stop.
fortsetzen,to continue,,Weiter fortsetzen.,Continue.
beenden,to finish,,Schnell beenden.,Finish quickly.
fertig,ready,,Fertig sein.,Be ready.
los,start,,Los geht's!,Let's go!
weiter,continue,,Weiter so!,Keep it up!
stopp,stop,,Stopp!,Stop!
halt,stop,,Halt machen.,Make a stop.
pause,break,,Pause machen.,Take a break.
ende,end,,Das Ende.,The end.
anfang,beginning,,Am Anfang.,At the beginning.
mitte,middle,,In der Mitte.,In the middle.
oben,top,,Oben drauf.,On top.
unten,bottom,,Unten drunter.,Underneath.
links,left,,Links davon.,To the left of it.
rechts,right,,Rechts daneben.,To the right of it.
vorne,front,,Vorne stehen.,Stand in front.
hinten,back,,Hinten sitzen.,Sit in back.
innen,inside,,Drinnen sein.,Be inside.
außen,outside,,Draußen warten.,Wait outside.
nahe,near,,Ganz nahe.,Very near.
fern,far,,Weit fern.,Far away.
direkt,direct,,Direkt daneben.,Directly next to.
neben,next to,,Neben mir.,Next to me.
gegenüber,opposite,,Gegenüber sitzen.,Sit opposite.
zwischen,between,,Zwischen uns.,Between us.
hinter,behind,,Hinter dem Haus.,Behind the house.
vor,in front of,,Vor der Tür.,In front of the door.
über,above,,Über den Wolken.,Above the clouds.
unter,below,,Unter dem Tisch.,Under the table.
