number,german,english,article,german_sentence,english_sentence
566,tier,animal,,Wildes Tier.,Wild animal.
567,hund,dog,,Mein Hund.,My dog.
568,katze,cat,,Die Katze miaut.,The cat meows.
569,vogel,bird,,Der Vogel singt.,The bird sings.
570,fisch,fish,,Frischer Fisch.,Fresh fish.
571,pferd,horse,,Reites Pferd.,Riding horse.
572,kuh,cow,,Die Kuh muht.,The cow moos.
573,schwein,pig,,Das Schwein grunzt.,The pig grunts.
574,huhn,chicken,,Das Huhn gackert.,The chicken clucks.
575,ente,duck,,Die Ente schnattert.,The duck quacks.
576,frosch,frog,,Der Frosch quakt.,The frog croaks.
577,spinne,spider,,Große Spinne.,Big spider.
578,biene,bee,,Die Biene summt.,The bee buzzes.
579,schmetterling,butterfly,,Schöner Schmetterling.,Beautiful butterfly.
580,rose,rose,,Rote Rose.,Red rose.
581,baum,tree,,Hoher Baum.,Tall tree.
582,apfel,apple,,Roter Apfel.,Red apple.
583,banane,banana,,Reife Banane.,Ripe banana.
584,orange,orange,,Süße Orange.,Sweet orange.
585,zitrone,lemon,,Saure Zitrone.,Sour lemon.
586,wein,grape/wine,,Trauben ernten.,Harvest grapes.
587,brot,bread,,Frisches Brot.,Fresh bread.
588,milch,milk,,Frische Milch.,Fresh milk.
589,käse,cheese,,Alter Käse.,Aged cheese.
590,ei,egg,,Frisches Ei.,Fresh egg.
591,fleisch,meat,,Rohes Fleisch.,Raw meat.
592,fisch,fish,,Gegrillter Fisch.,Grilled fish.
593,gemüse,vegetables,,Frisches Gemüse.,Fresh vegetables.
594,kartoffel,potato,,Gebratene Kartoffeln.,Fried potatoes.
595,tomate,tomato,,Reife Tomate.,Ripe tomato.
596,salat,salad/lettuce,,Frischer Salat.,Fresh salad.
597,zucker,sugar,,Weißer Zucker.,White sugar.
598,salz,salt,,Wenig Salz.,Little salt.
599,pfeffer,pepper,,Schwarzer Pfeffer.,Black pepper.
600,öl,oil,,Olivenöl.,Olive oil.
601,wasser,water,,Kaltes Wasser.,Cold water.
602,wein,wine,,Roter Wein.,Red wine.
603,bier,beer,,Kaltes Bier.,Cold beer.
604,kaffee,coffee,,Starker Kaffee.,Strong coffee.
605,tee,tea,,Grüner Tee.,Green tea.
606,saft,juice,,Orangensaft.,Orange juice.
607,limonade,lemonade,,Kalte Limonade.,Cold lemonade.
608,haus,house,,Großes Haus.,Big house.
609,tür,door,,Die Tür ist offen.,The door is open.
610,fenster,window,,Offenes Fenster.,Open window.
611,wand,wall,,Weiße Wand.,White wall.
612,boden,floor,,Sauberer Boden.,Clean floor.
613,decke,ceiling,,Hohe Decke.,High ceiling.
614,treppe,stairs,,Die Treppe hoch.,Up the stairs.
615,zimmer,room,,Mein Zimmer.,My room.
616,küche,kitchen,,In der Küche.,In the kitchen.
617,bad,bathroom,,Ins Bad.,To the bathroom.
618,schlafzimmer,bedroom,,Im Schlafzimmer.,In the bedroom.
619,wohnzimmer,living room,,Im Wohnzimmer.,In the living room.
620,garten,garden,,Schöner Garten.,Beautiful garden.
621,tisch,table,,Am Tisch.,At the table.
622,stuhl,chair,,Bequemer Stuhl.,Comfortable chair.
623,bett,bed,,Weiches Bett.,Soft bed.
624,schrank,wardrobe,,Großer Schrank.,Big wardrobe.
625,lampe,lamp,,Helle Lampe.,Bright lamp.
626,bild,picture,,Schönes Bild.,Beautiful picture.
627,uhr,clock,,Die Uhr tickt.,The clock ticks.
628,telefon,telephone,,Am Telefon.,On the phone.
629,computer,computer,,Neuer Computer.,New computer.
630,fernseher,TV,,Großer Fernseher.,Big TV.
631,radio,radio,,Lautes Radio.,Loud radio.
632,buch,book,,Gutes Buch.,Good book.
633,heft,notebook,,Neues Heft.,New notebook.
634,stift,pen,,Blauer Stift.,Blue pen.
635,bleistift,pencil,,Spitzer Bleistift.,Sharp pencil.
636,papier,paper,,Weißes Papier.,White paper.
637,tasche,bag,,Meine Tasche.,My bag.
638,schuh,shoe,,Neue Schuhe.,New shoes.
639,hose,trousers,,Lange Hose.,Long trousers.
640,hemd,shirt,,Weißes Hemd.,White shirt.
641,jacke,jacket,,Warme Jacke.,Warm jacket.
642,mantel,coat,,Langer Mantel.,Long coat.
643,kleid,dress,,Schönes Kleid.,Beautiful dress.
644,rock,skirt,,Kurzer Rock.,Short skirt.
645,pullover,sweater,,Warmer Pullover.,Warm sweater.
646,socken,socks,,Warme Socken.,Warm socks.
647,unterhose,underpants,,Saubere Unterhose.,Clean underpants.
648,brille,glasses,,Meine Brille.,My glasses.
649,uhr,watch,,Armbanduhr.,Wristwatch.
650,ring,ring,,Goldener Ring.,Golden ring.
651,kette,necklace,,Silberne Kette.,Silver necklace.
652,stadt,city,,Große Stadt.,Big city.
653,straße,street,,Breite Straße.,Wide street.
654,platz,square,,Zentraler Platz.,Central square.
655,park,park,,Schöner Park.,Beautiful park.
656,bahnhof,train station,,Am Bahnhof.,At the train station.
657,flughafen,airport,,Großer Flughafen.,Big airport.
658,bushaltestelle,bus stop,,Nächste Haltestelle.,Next stop.
659,auto,car,,Rotes Auto.,Red car.
660,zug,train,,Schneller Zug.,Fast train.
661,bus,bus,,Der Bus kommt.,The bus is coming.
662,fahrrad,bicycle,,Mein Fahrrad.,My bicycle.
663,flugzeug,plane,,Großes Flugzeug.,Big plane.
664,schiff,ship,,Großes Schiff.,Big ship.
665,straße,road,,Lange Straße.,Long road.
666,weg,path,,Der richtige Weg.,The right path.
667,brücke,bridge,,Hohe Brücke.,High bridge.
668,tunnel,tunnel,,Langer Tunnel.,Long tunnel.
669,ampel,traffic light,,Rote Ampel.,Red light.
670,schild,sign,,Verbotsschild.,No-entry sign.
671,polizist,police officer,,Der Polizist.,The police officer.
672,arzt,doctor,,Zum Arzt gehen.,Go to the doctor.
673,krankenschwester,nurse,,Die Krankenschwester.,The nurse.
674,lehrer,teacher,,Guter Lehrer.,Good teacher.
675,schüler,student,,Fleißiger Schüler.,Hardworking student.
676,chef,boss,,Der Chef.,The boss.
677,kollege,colleague,,Lieber Kollege.,Dear colleague.
678,freund,friend,,Bester Freund.,Best friend.
679,nachbar,neighbor,,Netter Nachbar.,Nice neighbor.
680,familie,family,,Große Familie.,Big family.
681,mutter,mother,,Meine Mutter.,My mother.
682,vater,father,,Mein Vater.,My father.
683,sohn,son,,Unser Sohn.,Our son.
684,tochter,daughter,,Unsere Tochter.,Our daughter.
685,bruder,brother,,Mein Bruder.,My brother.
686,schwester,sister,,Meine Schwester.,My sister.
687,oma,grandma,,Liebe Oma.,Dear grandma.
688,opa,grandpa,,Lieber Opa.,Dear grandpa.
689,kind,child,,Kleines Kind.,Small child.
690,baby,baby,,Süßes Baby.,Cute baby.
691,mann,man/husband,,Mein Mann.,My husband.
692,frau,wife/woman,,Meine Frau.,My wife.
693,name,name,,Vorname und Nachname.,First and last name.
694,alter,age,,Wie alt bist du?,How old are you?
695,adresse,address,,Neue Adresse.,New address.
696,telefonnummer,phone number,,Handynummer.,Mobile number.
697,geburtstag,birthday,,Alles Gute zum Geburtstag!,Happy birthday!
698,hochzeit,wedding,,Zur Hochzeit.,To the wedding.
699,ferien,vacation,,In den Ferien.,On vacation.
700,urlaub,holiday,,Im Urlaub.,On holiday.
701,reise,trip,,Gute Reise!,Have a good trip!
702,hotel,hotel,,Gutes Hotel.,Good hotel.
703,restaurant,restaurant,,Italienisches Restaurant.,Italian restaurant.
704,café,café,,Ins Café gehen.,Go to the café.
705,kino,cinema,,Ins Kino gehen.,Go to the cinema.
706,theater,theater,,Ins Theater.,To the theater.
707,museum,museum,,Interessantes Museum.,Interesting museum.
708,schule,school,,In der Schule.,At school.
709,universität,university,,An der Uni.,At the uni.
710,bibliothek,library,,In der Bibliothek.,In the library.
711,geschäft,shop,,Kleiner Laden.,Small shop.
712,supermarkt,supermarket,,Großer Supermarkt.,Big supermarket.
713,bäckerei,bakery,,Zur Bäckerei.,To the bakery.
714,apotheke,pharmacy,,In der Apotheke.,In the pharmacy.
715,bank,bank,,Zur Bank.,To the bank.
716,post,post office,,Zur Post.,To the post office.
717,montag,Monday,,Am Montag.,On Monday.
718,dienstag,Tuesday,,Am Dienstag.,On Tuesday.
719,mittwoch,Wednesday,,Am Mittwoch.,On Wednesday.
720,donnerstag,Thursday,,Am Donnerstag.,On Thursday.
721,freitag,Friday,,Am Freitag.,On Friday.
722,samstag,Saturday,,Am Samstag.,On Saturday.
723,sonntag,Sunday,,Am Sonntag.,On Sunday.
724,januar,January,,Im Januar.,In January.
725,februar,February,,Im Februar.,In February.
726,märz,March,,Im März.,In March.
727,april,April,,Im April.,In April.
728,mai,May,,Im Mai.,In May.
729,juni,June,,Im Juni.,In June.
730,juli,July,,Im Juli.,In July.
731,august,August,,Im August.,In August.
732,september,September,,Im September.,In September.
733,oktober,October,,Im Oktober.,In October.
734,november,November,,Im November.,In November.
735,dezember,December,,Im Dezember.,In December.
736,frühling,spring,,Im Frühling.,In spring.
737,sommer,summer,,Im Sommer.,In summer.
738,herbst,autumn,,Im Herbst.,In autumn.
739,winter,winter,,Im Winter.,In winter.
740,morgen,morning,,Guten Morgen!,Good morning!
741,mittag,noon,,Guten Tag!,Good day!
742,abend,evening,,Guten Abend!,Good evening!
743,nacht,night,,Gute Nacht!,Good night!
744,stunde,hour,,Eine Stunde.,One hour.
745,minute,minute,,Zehn Minuten.,Ten minutes.
746,sekunde,second,,Eine Sekunde.,One second.
747,woche,week,,Nächste Woche.,Next week.
748,monat,month,,Nächster Monat.,Next month.
749,jahr,year,,Nächstes Jahr.,Next year.
750,heute,today,,Heute ist Freitag.,Today is Friday.
751,morgen,tomorrow,,Morgen früh.,Tomorrow morning.
752,übermorgen,day after tomorrow,,Übermorgen komme ich.,Day after tomorrow I'll come.
753,gestern,yesterday,,Gestern war Sonntag.,Yesterday was Sunday.
754,vorgestern,day before yesterday,,Vorgestern war kalt.,Day before yesterday was cold.
755,jetzt,now,,Jetzt sofort!,Now immediately!
756,später,later,,Später vielleicht.,Later maybe.
757,bald,soon,,Bald fertig.,Soon done.
758,schon,already,,Schon da?,Already there?
759,noch,still,,Noch nicht.,Not yet.
760,nie,never,,Nie wieder!,Never again!
761,immer,always,,Immer so.,Always like that.
762,oft,often,,Oft kommen.,Come often.
763,selten,rarely,,Selten gesehen.,Rarely seen.
764,manchmal,sometimes,,Manchmal ja.,Sometimes yes.
765,gewöhnlich,usually,,Gewöhnlich ja.,Usually yes.
766,normalerweise,normally,,Normalerweise nicht.,Normally not.
767,fast,almost,,Fast immer.,Almost always.
768,beinahe,nearly,,Beinahe vergessen.,Nearly forgotten.
769,etwa,about/approximately,,Etwa zehn.,About ten.
770,ungefähr,approximately,,Ungefähr richtig.,Approximately right.
771,genau,exactly,,Genau um 8.,Exactly at 8.
772,ungefähr,about,,Ungefähr 100.,About 100.
773,circa,about,,Circa 50 Euro.,About 50 euros.
774,plus,plus,,Zwei plus zwei.,Two plus two.
775,minus,minus,,Fünf minus drei.,Five minus three.
776,mal,times,,Drei mal vier.,Three times four.
777,durch,divided by,,Zehn durch zwei.,Ten divided by two.
778,gleich,equals,,Zwei plus zwei gleich vier.,Two plus two equals four.
779,mehr,more,,Noch mehr?,Even more?
780,weniger,less,,Weniger Zucker.,Less sugar.
781,zu,to,,Zu viel!,Too much!
782,sehr,very,,Sehr gut!,Very good!
783,wirklich,really,,Wirklich wahr?,Really true?
784,total,totally,,Total verrückt!,Totally crazy!
785,vollkommen,completely,,Vollkommen richtig.,Completely right.
786,absolut,absolutely,,Absolut sicher.,Absolutely sure.
787,ziemlich,quite,,Ziemlich gut.,Quite good.
788,eher,rather,,Eher nein.,Rather no.
789,kaum,hardly,,Kaum zu glauben.,Hardly believable.
790,fast,almost,,Fast fertig.,Almost done.
791,gerade,just/right now,,Gerade angekommen.,Just arrived.
792,sofort,immediately,,Sofort kommen!,Come immediately!
793,gleich,right away,,Ich komme gleich!,I'm coming right away!
794,plötzlich,suddenly,,Plötzlich war er da.,Suddenly he was there.
795,langsam,slowly,,Langsam essen.,Eat slowly.
796,schnell,quickly,,Schnell laufen.,Run quickly.
797,leise,quietly,,Leise sprechen.,Speak quietly.
798,laut,loudly,,Laut singen.,Sing loudly.
799,vorsichtig,carefully,,Vorsichtig sein!,Be careful!
800,ruhig,calmly,,Ruhig bleiben!,Stay calm!
801,heftig,violently,,Heftig regnen.,Rain heavily.
802,sanft,gently,,Sanft streicheln.,Stroke gently.
803,fest,hard/tightly,,Fest halten!,Hold tight!
804,locker,loosely,,Locker sitzen.,Sit loosely.
805,direkt,directly,,Direkt daneben.,Directly next to.
806,indirekt,indirectly,,Indirekt sagen.,Say indirectly.
807,vorne,in front,,Vorne sitzen.,Sit in front.
808,hinten,at the back,,Hinten stehen.,Stand at the back.
809,oben,upstairs,,Oben wohnen.,Live upstairs.
810,unten,downstairs,,Unten parken.,Park downstairs.
811,links,left,,Links abbiegen.,Turn left.
812,rechts,right,,Rechts halten.,Keep right.
813,geradeaus,straight ahead,,Geradeaus gehen.,Go straight.
814,zurück,back,,Zurückkommen.,Come back.
815,vorwärts,forward,,Vorwärts marsch!,Forward march!
816,rückwärts,backwards,,Rückwärts gehen.,Go backwards.
817,hoch,up,,Hoch springen.,Jump up.
818,runter,down,,Runterkommen.,Come down.
819,rein,in,,Reinkommen!,Come in!
820,raus,out,,Rausgehen.,Go out.
821,her,here (direction),,Her damit!,Give it here!
822,hin,there (direction),,Dorthin gehen.,Go there.
823,herauf,up here,,Heraufkommen.,Come up here.
824,herunter,down here,,Herunterkommen.,Come down here.
825,hinein,into,,Hineingehen.,Go in.
826,hinaus,out,,Hinausgehen.,Go out.
827,herüber,over here,,Herüberkommen.,Come over here.
828,hinüber,over there,,Hinübergehen.,Go over there.
829,zusammen,together,,Zusammen essen.,Eat together.
830,allein,alone,,Allein sein.,Be alone.
831,gemeinsam,together,,Gemeinsam arbeiten.,Work together.
832,getrennt,separately,,Getrennt zahlen.,Pay separately.
833,nebenbei,by the way,,Nebenbei bemerkt...,By the way...
834,übrigens,by the way,,Übrigens,weißt du...?
835,allerdings,however,,Allerdings teuer.,However expensive.
836,trotzdem,nevertheless,,Trotzdem komme ich.,Nevertheless I'll come.
837,sonst,otherwise,,Sonst nichts.,Otherwise nothing.
838,außerdem,besides,,Außerdem kalt.,Besides cold.
839,darüber hinaus,furthermore,,Darüber hinaus...,Furthermore...
840,zwar...aber,although...but,,Zwar schön,aber teuer.
841,entweder...oder,either...or,,Entweder jetzt oder nie.,Either now or never.
842,weder...noch,neither...nor,,Weder Fisch noch Fleisch.,Neither fish nor flesh.
843,sowohl...als auch,both...and,,Sowohl als auch.,Both and.
844,nicht nur...sondern auch,not only...but also,,Nicht nur gut,sondern super.
845,je...desto,the...the,,Je früher,desto besser.
846,obwohl,although,,Obwohl müde.,Although tired.
847,trotzdem,despite that,,Trotzdem gegangen.,Gone despite that.
848,damit,so that,,Damit es klappt.,So that it works.
849,weil,because,,Weil es regnet.,Because it's raining.
850,da,because,,Da ich müde bin.,Because I am tired.
851,falls,in case,,Falls es regnet.,In case it rains.
852,sobald,as soon as,,Sobald möglich.,As soon as possible.
853,bevor,before,,Bevor es zu spät ist.,Before it's too late.
854,nachdem,after,,Nachdem wir gegessen haben.,After we ate.
855,während,while,,Während des Films.,During the movie.
856,seitdem,since then,,Seitdem nicht mehr.,Not anymore since then.
857,bis,until,,Bis bald!,Until soon!
858,solange,as long as,,Solange ich lebe.,As long as I live.
859,je,ever,,Hast du je...?,Have you ever...?
860,jemals,ever,,Nie jemals.,Never ever.
861,schon,already,,Schon gesehen?,Already seen?
862,noch,still,,Noch da?,Still there?
863,mehr,no more,,Nicht mehr.,No more.
864,länger,no longer,,Nicht länger warten.,No longer wait.
865,bald,soon,,Bald da.,Soon there.
866,später,later,,Später dann.,Later then.
867,früher,earlier,,Früher war besser.,Earlier was better.
868,jetzt,now,,Jetzt aber!,Now though!
869,gleich,soon/right away,,Gleich da!,Be there soon!
870,sofort,immediately,,Sofort!,Immediate!
871,dann,then,,Dann los!,Then go!
872,danach,afterwards,,Danach essen.,Eat afterwards.
873,zuerst,first,,Zuerst trinken.,Drink first.
874,zuerst,first of all,,Zuerst einmal...,First of all...
875,zuletzt,lastly,,Zuletzt kommt...,Lastly comes...
876,endlich,finally,,Endlich da!,Finally here!
877,plötzlich,suddenly,,Plötzlich weg.,Suddenly gone.
878,langsam,gradually,,Langsam besser.,Gradually better.
879,schnell,quickly,,Schnell fertig.,Quickly done.
880,immer,always,,Immer wieder.,Again and again.
881,oft,often,,Oft hier.,Often here.
882,selten,rarely,,Selten gesehen.,Rarely seen.
883,nie,never,,Nie wieder!,Never again!
884,manchmal,sometimes,,Manchmal ja.,Sometimes yes.
885,häufig,frequently,,Häufig kommen.,Come frequently.
886,gelegentlich,occasionally,,Gelegentlich mal.,Occasionally.
887,regelmäßig,regularly,,Regelmäßig trainieren.,Train regularly.
888,ständig,constantly,,Ständig läuten.,Constantly ringing.
889,meistens,mostly,,Meistens ja.,Mostly yes.
890,gewöhnlich,usually,,Gewöhnlich so.,Usually like that.
891,normalerweise,normally,,Normalerweise nicht.,Normally not.
892,typischerweise,typically,,Typischerweise teuer.,Typically expensive.
893,üblicherweise,usually,,Üblicherweise ja.,Usually yes.
894,ausnahmsweise,exceptionally,,Ausnahmsweise mal.,Exceptionally once.
895,zufällig,by chance,,Zufällig hier?,By chance here?
896,absichtlich,intentionally,,Absichtlich gemacht.,Done intentionally.
897,unabsichtlich,unintentionally,,Unabsichtlich fallen lassen.,Dropped unintentionally.
898,freiwillig,voluntarily,,Freiwillig helfen.,Help voluntarily.
899,zwangsweise,compulsorily,,Zwangsweise mitkommen.,Have to come along.
900,gerne,gladly,,Sehr gerne!,Very gladly!
901,ungern,reluctantly,,Ungern zugeben.,Reluctantly admit.
902,lieber,rather,,Lieber nicht.,Rather not.
903,am liebsten,preferably,,Am liebsten zu Hause.,Preferably at home.
904,höchstens,at most,,Höchstens zehn.,At most ten.
905,mindestens,at least,,Mindestens zwanzig.,At least twenty.
906,etwa,about,,Etwa so groß.,About that big.
907,ungefähr,approximately,,Ungefähr richtig.,Approximately right.
908,circa,circa,,Circa 100 Leute.,Circa 100 people.
909,plus,plus,,Fünf plus fünf.,Five plus five.
910,minus,minus,,Zehn minus zwei.,Ten minus two.
911,mal,times,,Vier mal fünf.,Four times five.
912,geteilt durch,divided by,,Zwanzig geteilt durch vier.,Twenty divided by four.
913,gleich,equals,,Zehn plus zehn gleich zwanzig.,Ten plus ten equals twenty.
914,prozent,percent,,Zehn Prozent.,Ten percent.
915,halb,half,,Halb zwölf.,Half past eleven.
916,viertel,quarter,,Viertel nach drei.,Quarter past three.
917,drittel,third,,Ein Drittel.,One third.
918,ganz,whole,,Ganz Deutschland.,All of Germany.
919,halb,half,,Halb voll.,Half full.
920,voll,full,,Voll besetzt.,Fully occupied.
921,leer,empty,,Leer stehen.,Stand empty.
922,teilweise,partly,,Teilweise bewölkt.,Partly cloudy.
923,vollständig,completely,,Vollständig fertig.,Completely done.
924,ganz,quite,,Ganz okay.,Quite okay.
925,total,totally,,Total verrückt.,Totally crazy.
926,absolut,absolutely,,Absolut richtig.,Absolutely right.
927,völlig,completely,,Völlig egal.,Completely indifferent.
928,sehr,very,,Sehr wichtig.,Very important.
929,äußerst,extremely,,Äußerst selten.,Extremely rare.
930,besonders,particularly,,Besonders schön.,Particularly beautiful.
931,außerordentlich,extraordinarily,,Außerordentlich gut.,Extraordinarily good.
932,ungeheuer,immensely,,Ungeheuer laut.,Immensely loud.
933,enorm,enormously,,Enorm teuer.,Enormously expensive.
934,riesig,huge,,Riesig groß.,Huge.
935,winzig,tiny,,Winzig klein.,Tiny.
936,gigantisch,gigantic,,Gigantisch groß.,Gigantic.
937,minimal,minimal,,Minimaler Aufwand.,Minimal effort.
938,maximal,maximum,,Maximal schnell.,Maximum speed.
939,optimal,optimal,,Optimal gelöst.,Optimally solved.
940,perfekt,perfect,,Perfekt!,Perfect!
941,ideal,ideal,,Ideale Lösung.,Ideal solution.
942,exzellent,excellent,,Exzellent!,Excellent!
943,fantastisch,fantastic,,Fantastisch!,Fantastic!
944,wunderbar,wonderful,,Wunderbar!,Wonderful!
945,herrlich,gorgeous,,Herrlich!,Gorgeous!
946,traumhaft,dreamlike,,Traumhaft schön.,Dreamlike beautiful!
947,zauberhaft,enchanting,,Zauberhaft.,Enchanting!
948,hinreißend,charming,,Hinreißend!,Charming!
949,bezaubernd,charming,,Bezaubernd!,Charming!
950,liebenswert,lovable,,Liebenswert.,Lovable!
951,nett,nice,,Sehr nett.,Very nice!
952,freundlich,friendly,,Sehr freundlich.,Very friendly!
953,höflich,polite,,Sehr höflich.,Very polite!
954,hilfsbereit,helpful,,Sehr hilfsbereit.,Very helpful!
955,geduldig,patient,,Bleib geduldig!,Stay patient!
956,tolerant,tolerant,,Sehr tolerant.,Very tolerant!
957,offen,open,,Sehr offen.,Very open!
958,ehrlich,honest,,Ehrlich gesagt...,Honestly speaking...
959,aufrichtig,sincere,,Aufrichtig gemeint.,Sincerely meant.
960,fair,fair,,Fair spielen.,Play fair.
961,gerecht,just,,Gerecht sein.,Be just.
962,treu,loyal,,Treuer Freund.,Loyal friend.
963,zuverlässig,reliable,,Sehr zuverlässig.,Very reliable.
964,pünktlich,punctual,,Immer pünktlich.,Always punctual.
965,fleißig,hardworking,,Sehr fleißig.,Very hardworking.
966,intelligent,intelligent,,Sehr intelligent.,Very intelligent.
967,klug,clever,,Sehr klug.,Very clever!
968,weise,wise,,Weise Entscheidung.,Wise decision.
969,kreativ,creative,,Sehr kreativ.,Very creative!
970,originell,original,,Originelle Idee.,Original idea.
971,witzig,funny,,Sehr witzig!,Very funny!
972,humorvoll,humorous,,Humorvoller Mensch.,Humorous person.
973,lustig,funny,,Lustiger Witz.,Funny joke.
974,fröhlich,cheerful,,Fröhliche Leute.,Cheerful people.
975,heiter,cheerful,,Heiteres Gemüt.,Cheerful mood.
976,glücklich,happy,,Glücklich sein.,Be happy.
977,zufrieden,satisfied,,Zufrieden sein.,Be satisfied.
978,stolz,proud,,Stolz auf dich!,Proud of you!
979,dankbar,grateful,,Sehr dankbar.,Very grateful.
980,froh,glad,,Froh sein.,Be glad.
981,begeistert,enthusiastic,,Total begeistert!,Totally enthusiastic!
982,fasziniert,fascinated,,Fasziniert sein.,Be fascinated.
983,interessiert,interested,,Sehr interessiert.,Very interested!
984,neugierig,curious,,Neugierig sein.,Be curious.
985,mutig,brave,,Sehr mutig.,Very brave!
986,tapfer,courageous,,Tapfer kämpfen.,Fight courageously.
987,stark,strong,,Stark bleiben!,Stay strong!
988,kraftvoll,powerful,,Kraftvolle Stimme.,Powerful voice.
989,energisch,energetic,,Energisch handeln.,Act energetically.
990,lebhaft,lively,,Lebhaftes Kind.,Lively child.
991,aktiv,active,,Aktiv mitmachen.,Join in actively.
992,dynamisch,dynamic,,Dynamische Person.,Dynamic person.
993,ruhig,calm,,Ruhig bleiben!,Stay calm!
994,gelassen,relaxed,,Gelassen bleiben.,Stay relaxed.
995,entspannt,relaxed,,Entspannt sein.,Be relaxed.
996,friedlich,peaceful,,Friedliche Lösung.,Peaceful solution.
997,sanft,gentle,,Sanfte Berührung.,Gentle touch.
998,zart,tender,,Zarte Haut.,Tender skin.
999,weich,soft,,Weiches Kissen.,Soft pillow.
1000,hart,hard,,Harte Arbeit.,Hard work.
1001,streng,strict,,Strenge Regeln.,Strict rules.
1002,diszipliniert,disciplined,,Diszipliniert sein.,Be disciplined.
1003,ordentlich,neat,,Ordentlich sein.,Be neat.
1004,sauber,clean,,Sauber machen.,Clean up.
1005,schlampig,sloppy,,Schlampig arbeiten.,Work sloppily.
1006,faul,lazy,,Faul sein.,Be lazy.
1007,träge,sluggish,,Träge werden.,Become sluggish.
1008,langweilig,boring,,Langweilig sein.,Be boring.
1009,spannend,exciting,,Sehr spannend!,Very exciting!
1010,interessant,interesting,,Sehr interessant!,Very interesting!
1011,faszinierend,fascinating,,Faszinierend!,Fascinating!
1012,beeindruckend,impressive,,Beeindruckend!,Impressive!
1013,erstaunlich,amazing,,Erstaunlich!,Amazing!
1014,unglaublich,incredible,,Unglaublich!,Incredible!
1015,wunderbar,wonderful,,Wunderbar!,Wonderful!
1016,schrecklich,terrible,,Schrecklich!,Terrible!
1017,furchtbar,awful,,Furchtbar kalt.,Awfully cold.
1018,grauenhaft,horrible,,Grauenhaft!,Horrible!
1019,entsetzlich,dreadful,,Entsetzlich laut.,Dreadfully loud.
1020,fürchterlich,dreadful,,Fürchterlich!,Dreadful!
1021,ekelhaft,disgusting,,Ekelhaft!,Disgusting!
1022,widerlich,repulsive,,Widerlich!,Repulsive!
1023,hässlich,ugly,,Hässlich sein.,Be ugly.
1024,scheußlich,hideous,,Scheußlich!,Hideous!
1025,traurig,sad,,Traurig sein.,Be sad.
1026,deprimiert,depressed,,Depressiv sein.,Be depressed.
1027,unglücklich,unhappy,,Unglücklich sein.,Be unhappy.
1028,verzweifelt,desperate,,Verzweifelt suchen.,Search desperately.
1029,verärgert,annoyed,,Verärgert sein.,Be annoyed.
1030,wütend,angry,,Wütend werden.,Get angry.
1031,böse,angry,,Böse sein.,Be angry.
1032,sauer,angry,,Sauer sein.,Be angry.
1033,genervt,annoyed,,Genervt sein.,Be annoyed.
1034,gestresst,stressed,,Gestresst sein.,Be stressed.
1035,nervös,nervous,,Nervös sein.,Be nervous.
1036,ängstlich,anxious,,Ängstlich sein.,Be anxious.
1037,furchtlos,fearless,,Furchtlos sein.,Be fearless.
1038,schüchtern,shy,,Schüchtern sein.,Be shy.
1039,schamlos,shameless,,Schamlos lügen.,Lie shamelessly.
1040,stolz,proud,,Stolz sein.,Be proud.
1041,arrogant,arrogant,,Arrogant sein.,Be arrogant.
1042,eingebildet,conceited,,Eingebildet sein.,Be conceited.
1043,bescheiden,modest,,Bescheiden sein.,Be modest.
1044,demütig,humble,,Demütig sein.,Be humble.
1045,selbstbewusst,self-confident,,Selbstbewusst auftreten.,Appear self-confident.
1046,unsicher,insecure,,Unsicher sein.,Be insecure.
1047,verlegen,embarrassed,,Verlegen sein.,Be embarrassed.
1048,peinlich,embarrassing,,Peinlich sein.,Be embarrassing.
1049,komisch,funny/strange,,Komisch aussehen.,Look funny.
1050,lächerlich,ridiculous,,Lächerlich!,Ridiculous!
1051,albern,silly,,Albern sein.,Be silly.
1052,ernst,serious,,Ernst sein.,Be serious.
1053,streng,strict,,Streng sein.,Be strict.
1054,locker,casual,,Locker bleiben.,Stay casual.
1055,cool,cool,,Total cool!,Totally cool!
1056,hip,cool,,Hip sein.,Be hip.
1057,modern,modern,,Modern eingerichtet.,Furnished modern.
1058,altmodisch,old-fashioned,,Altmodisch gekleidet.,Dressed old-fashioned.
1059,traditionell,traditional,,Traditionelle Küche.,Traditional cuisine.
1060,international,international,,International bekannt.,Internationally known.
1061,lokal,local,,Lokales Bier.,Local beer.
1062,regional,regional,,Regionale Produkte.,Regional products.
1063,national,national,,Nationalfeiertag.,National holiday.
1064,global,global,,Global denken.,Think global.
1065,weltweit,worldwide,,Weltweit bekannt.,Worldwide known.
1066,europa,Europe,,In Europa.,In Europe.
1067,deutschland,Germany,,In Deutschland leben.,Live in Germany.
1068,berlin,Berlin,,In Berlin.,In Berlin.
1069,münchen,Munich,,In München.,In Munich.
1070,hamburg,Hamburg,,In Hamburg.,In Hamburg.
1071,köln,Cologne,,In Köln.,In Cologne.
1072,frankfurt,Frankfurt,,In Frankfurt.,In Frankfurt.
1073,stuttgart,Stuttgart,,In Stuttgart.,In Stuttgart.
1074,düsseldorf,Düsseldorf,,In Düsseldorf.,In Düsseldorf.
1075,dortmund,Dortmund,,In Dortmund.,In Dortmund.
1076,essen,Essen,,In Essen.,In Essen.
